player_id,full_name,position,team,week,fanduel_points,opponent,home_team,away_team,prev_fanduel_points,mean_fanduel_points,prev_fumbles_lost,mean_fumbles_lost,prev_fumbles_tot,mean_fumbles_tot,prev_passing_att,mean_passing_att,prev_passing_cmp,mean_passing_cmp,prev_passing_cmp_air_yds,mean_passing_cmp_air_yds,prev_passing_incmp,mean_passing_incmp,prev_passing_incmp_air_yds,mean_passing_incmp_air_yds,prev_passing_int,mean_passing_int,prev_passing_sk,mean_passing_sk,prev_passing_sk_yds,mean_passing_sk_yds,prev_passing_tds,mean_passing_tds,prev_passing_yds,mean_passing_yds,prev_receiving_rec,mean_receiving_rec,prev_receiving_tar,mean_receiving_tar,prev_receiving_tds,mean_receiving_tds,prev_receiving_yac_yds,mean_receiving_yac_yds,prev_receiving_yds,mean_receiving_yds,prev_rushing_att,mean_rushing_att,prev_rushing_loss,mean_rushing_loss,prev_rushing_loss_yds,mean_rushing_loss_yds,prev_rushing_tds,mean_rushing_tds,prev_rushing_yds,mean_rushing_yds
00-0028001,Marcus Gilbert,T,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028066,Cortez Allen,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028087,Dion Lewis,RB,NE,1,14.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028256,Sealver Siliga,DT,SEA,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028454,Jonathan Freeny,MLB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028841,Will Johnson,RB,NYG,1,6.7,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028954,Robert Golden,SS,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029050,Antwon Blake,DB,TEN,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029239,Brandon Bolden,RB,NE,1,1.8,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029316,Kelvin Beachum,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029570,Nate Ebner,DB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029585,Chandler Jones,DE,ARI,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029669,Dont'a Hightower,OLB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029984,Ryan Allen,P,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030110,Michael Williams,TE,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030219,Eric Martin,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030383,Duron Harmon,FS,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030412,Shamarko Thomas,SS,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030421,Jamie Collins,OLB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030434,Vince Williams,ILB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030460,Markus Wheaton,WR,PIT,1,9.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030499,Jarvis Jones,OLB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030540,Aaron Dobson,WR,NE,1,1.4,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030741,Roosevelt Nix-Jones,FB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031193,Dan McCullers-Sanders,NT,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031218,Malcolm Butler,CB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031365,Ryan Shazier,ILB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031392,Dri Archer,RB,BUF,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031412,Stephon Tuitt,DE,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031502,Jordan Berry,P,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031816,Tyler Murphy,WR,MIA,1,2.1,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031940,Geneo Grissom,OLB,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032146,Bud Dupree,OLB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032261,Malcom Brown,DT,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021140,Julius Peppers,OLB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
